"Date","Price","Open","High","Low","Vol.","Change %"
"May 26, 2017","920.52","921.68","922.04","918.70","226.15M","0.09%"
"May 25, 2017","919.69","913.58","922.07","913.58","318.76M","1.22%"
"May 24, 2017","908.57","909.10","909.10","904.06","296.72M","-0.17%"
"May 23, 2017","910.11","916.12","916.15","909.69","248.02M","-0.58%"
"May 22, 2017","915.45","913.43","917.45","913.08","249.92M","0.43%"
"May 19, 2017","911.57","909.97","915.17","909.97","308.60M","0.43%"
"May 18, 2017","907.64","903.60","910.89","903.16","325.83M","0.81%"
"May 17, 2017","900.35","908.07","911.05","900.15","354.08M","-1.62%"
"May 16, 2017","915.16","918.38","920.50","914.59","340.90M","-0.44%"
"May 15, 2017","919.21","918.75","924.13","917.72","288.09M","-0.01%"
"May 12, 2017","919.30","922.14","922.14","917.21","343.03M","-0.28%"
"May 11, 2017","921.84","924.96","925.97","917.08","360.35M","-0.74%"
"May 10, 2017","928.73","926.26","929.24","924.51","277.37M","0.17%"
"May 09, 2017","927.14","924.76","928.48","924.21","218.86M","0.43%"
"May 08, 2017","923.20","922.19","923.20","919.72","188.71M","0.34%"
"May 05, 2017","920.08","920.83","921.42","915.68","191.96M","0.16%"
"May 04, 2017","918.63","918.44","919.43","915.33","200.86M","0.21%"
"May 03, 2017","916.66","915.96","917.33","913.12","223.99M","0.02%"
"May 02, 2017","916.45","915.18","916.45","911.17","237.71M","0.22%"
"May 01, 2017","914.40","914.71","918.80","913.73","210.65M","0.17%"
"Apr 28, 2017","912.83","921.08","921.08","911.62","239.64M","-0.21%"
"Apr 27, 2017","914.76","911.79","915.38","910.09","222.44M","0.58%"
"Apr 26, 2017","909.50","908.08","913.10","907.19","214.39M","0.47%"
"Apr 25, 2017","905.22","903.63","906.77","902.55","246.57M","0.55%"
"Apr 24, 2017","900.24","901.05","901.88","897.56","251.64M","0.73%"
"Apr 21, 2017","893.72","893.80","894.34","891.15","223.41M","0.01%"
"Apr 20, 2017","893.64","886.63","895.71","886.63","286.56M","1.04%"
"Apr 19, 2017","884.40","887.64","890.08","883.28","244.05M","-0.07%"
"Apr 18, 2017","885.04","883.16","887.26","881.94","236.87M","-0.28%"
"Apr 17, 2017","887.52","880.84","887.52","880.73","184.54M","1.00%"
"Apr 13, 2017","878.71","883.76","885.93","878.71","186.96M","-0.69%"
"Apr 12, 2017","884.80","888.53","888.97","884.07","197.59M","-0.60%"
"Apr 11, 2017","890.18","889.79","891.58","883.72","216.97M","0.00%"
"Apr 10, 2017","890.17","884.60","892.72","884.24","230.43M","0.77%"
"Apr 07, 2017","883.37","883.75","885.86","881.39","227.82M","-0.01%"
"Apr 06, 2017","883.46","883.19","887.77","881.39","313.53M","0.43%"
"Apr 05, 2017","879.69","884.64","889.66","878.54","310.74M","-0.36%"
"Apr 04, 2017","882.91","881.88","883.83","880.58","320.73M","-0.02%"
"Apr 03, 2017","883.12","888.42","888.71","880.78","234.37M","-0.53%"
"Mar 31, 2017","887.85","885.34","890.32","885.34","244.61M","0.10%"
